ObjectID,GlobalID,CreationDate,Creator,EditDate,Editor,Survey date,Survey start time,Survey point ID,How many people are in your group?,Is black crowberry present?,How many of the grid cells contain crowberry?,How many of the grid cells contain crowberry flowers?,How many of the grid cells contain crowberry fruits?,How many of the grid cells contain brown crowberry leaves?,Is three-toothed cinquefoil present?,How many of the grid cells contain cinquefoil?,How many of the grid cells contain cinquefoil flowers?,How many of the grid cells contain cinquefoil fruits?,How many of the grid cells contain brown cinquefoil leaves?,Survey end time,Did you take a picture of crowberry and upload it to iNaturalist?,Did you take a picture of cinquefoil and upload it to iNaturalist?,Notes?,Site code,Grid cell number,x,y
23,c1d1f53e-0298-495f-b48f-bee67ea89e45,6/29/2023 6:09:29 PM,hannah.webber,6/29/2023 6:09:29 PM,hannah.webber,6/29/2023 4:00:00 PM,13:24,,JR,Yes,19,0,0,19,Yes,4,2,0,0,13:27,"Yes, but not uploaded","Yes, but not uploaded",,Bmis,3610,-68.0617472,44.33354715
24,c7f9b8f1-6d29-447d-9fa6-eadb1f60ed35,6/30/2023 7:48:41 PM,hannah.webber,6/30/2023 7:48:41 PM,hannah.webber,6/30/2023 4:00:00 PM,10:32,,JR,No,,,,,Yes,3,0,0,0,10:39,,"Yes, but not uploaded",,caba,182,-68.2318502,44.38155618
25,90b0e6ef-a2f3-4755-a54a-4e123066033e,6/30/2023 7:48:43 PM,hannah.webber,6/30/2023 7:48:43 PM,hannah.webber,6/30/2023 4:00:00 PM,10:42,,JR,No,,,,,Yes,14,7,0,0,10:53,,"Yes, but not uploaded",,caba,158,-68.23202442,44.38155578
26,9748df31-6da9-47b6-b944-b065ab2fd1ab,6/30/2023 7:48:44 PM,hannah.webber,6/30/2023 7:48:44 PM,hannah.webber,6/30/2023 4:00:00 PM,10:57,,JR,No,,,,,No,,,,,11:04,,,,caba,134,-68.23217983,44.38154842
27,89bb0975-dda5-4a62-91af-d01ff8534549,6/30/2023 7:48:46 PM,hannah.webber,6/30/2023 7:48:46 PM,hannah.webber,6/30/2023 4:00:00 PM,11:07,,JR,No,,,,,No,,,,,11:15,,,,caba,110,-68.23238085,44.38157638
28,792d48ff-8c46-4060-a1d2-a39c7c743e19,6/30/2023 7:48:48 PM,hannah.webber,6/30/2023 7:48:48 PM,hannah.webber,6/30/2023 4:00:00 PM,11:18,,JR,No,,,,,Yes,3,0,0,0,11:23,,"Yes, but not uploaded",,caba,111,-68.23240218,44.38143813
29,7dbc240d-07d7-4bc7-ae4c-f18dea5bd23d,6/30/2023 7:48:49 PM,hannah.webber,6/30/2023 7:48:49 PM,hannah.webber,6/30/2023 4:00:00 PM,11:24,,JR,No,,,,,Yes,9,2,0,0,11:28,,"Yes, but not uploaded",,caba,135,-68.23220486,44.38141821
30,05adeb22-4795-452e-a85e-c19b9ccf2652,6/30/2023 7:48:50 PM,hannah.webber,6/30/2023 7:48:50 PM,hannah.webber,6/30/2023 4:00:00 PM,11:31,,JR,No,,,,,Yes,17,3,0,0,11:35,,"Yes, but not uploaded",,caba,159,-68.23203471,44.38145683
31,abd3f069-043e-491c-8e9a-fab7bc7fff4e,6/30/2023 7:48:51 PM,hannah.webber,6/30/2023 7:48:51 PM,hannah.webber,6/30/2023 4:00:00 PM,11:36,,JR,No,,,,,Yes,21,7,0,5,11:39,,"Yes, but not uploaded",,caba,183,-68.23187097,44.38144495
32,fb4de52b-c060-444c-8e7a-a74fec13d1fd,6/30/2023 7:48:53 PM,hannah.webber,6/30/2023 7:48:53 PM,hannah.webber,6/30/2023 4:00:00 PM,11:43,,JR,No,,,,,No,,,,,11:44,,,,cabz,184,-68.23184331,44.38131783
33,a16d230b-3ce5-496f-aadb-8199db66ff9a,6/30/2023 7:48:54 PM,hannah.webber,6/30/2023 7:48:54 PM,hannah.webber,6/30/2023 4:00:00 PM,11:46,,JR,No,,,,,Yes,4,0,0,1,11:53,,"Yes, but not uploaded",,caba,160,-68.2320441,44.38131273
34,2d800488-0f74-4d5a-9f97-2254bb42962c,6/30/2023 7:48:56 PM,hannah.webber,6/30/2023 7:48:56 PM,hannah.webber,6/30/2023 4:00:00 PM,12:33,,JR,No,,,,,No,,,,,12:37,,,,cabo,136,-68.23221901,44.38130556
35,1dcdaa32-8cea-492a-8046-62931f995944,6/30/2023 7:48:57 PM,hannah.webber,6/30/2023 7:48:57 PM,hannah.webber,6/30/2023 4:00:00 PM,12:39,,JR,No,,,,,No,,,,,12:43,,,,caba,112,-68.2324137,44.38131306
36,6beaba2a-6d2d-4a3b-9e14-d83499e260c2,6/30/2023 7:48:57 PM,hannah.webber,6/30/2023 7:48:57 PM,hannah.webber,6/30/2023 4:00:00 PM,12:45,,JR,No,,,,,Yes,3,0,0,0,12:49,,"Yes, but not uploaded",,caba,137,-68.23219182,44.38119425
37,93e42d74-e9f5-40cb-8dde-8f19a74c2115,6/30/2023 7:48:58 PM,hannah.webber,6/30/2023 7:48:58 PM,hannah.webber,6/30/2023 4:00:00 PM,12:52,,JR,No,,,,,No,,,,,12:55,,,,caba,161,-68.23200914,44.38115834
38,29cfd308-1fc4-4c05-94c0-cff69e61648a,6/30/2023 7:49:00 PM,hannah.webber,6/30/2023 7:49:00 PM,hannah.webber,6/30/2023 4:00:00 PM,12:57,,JR,No,,,,,Yes,4,1,0,0,13:00,,"Yes, but not uploaded",,caba,185,-68.2318618,44.38117949
39,17e8a490-4e88-4ca6-ac0e-3c0639e0ee65,6/30/2023 7:49:01 PM,hannah.webber,6/30/2023 7:49:01 PM,hannah.webber,6/30/2023 4:00:00 PM,13:10,,JR,No,,,,,Yes,9,0,0,0,13:14,,"Yes, but not uploaded",,caba,231,-68.23148069,44.381446
40,4cb923c5-5853-4974-80f8-595b7951e3b1,6/30/2023 7:49:02 PM,hannah.webber,6/30/2023 7:49:02 PM,hannah.webber,6/30/2023 4:00:00 PM,13:16,,JR,No,,,,,Yes,4,0,0,0,13:20,,"Yes, but not uploaded",,caba,255,-68.23132263,44.3814325
41,03f03179-5740-438d-9b23-e150e0794523,6/30/2023 7:49:03 PM,hannah.webber,6/30/2023 7:49:03 PM,hannah.webber,6/30/2023 4:00:00 PM,13:22,,JR,No,,,,,Yes,11,1,0,2,13:24,,"Yes, but not uploaded",,caba,256,-68.23130438,44.38130234
42,561e73d5-1188-45d4-9a17-c07aa89617ee,6/30/2023 7:49:04 PM,hannah.webber,6/30/2023 7:49:04 PM,hannah.webber,6/30/2023 4:00:00 PM,13:26,,JR,No,,,,,Yes,15,0,0,0,13:29,,"Yes, but not uploaded",,caba,257,-68.23129932,44.38116394
43,daa94b93-b8cf-4a92-ba7c-b042e93f52f8,6/30/2023 7:49:06 PM,hannah.webber,6/30/2023 7:49:06 PM,hannah.webber,6/30/2023 4:00:00 PM,13:30,,JR,No,,,,,Yes,19,3,0,2,13:34,,"Yes, but not uploaded",,caba,236,-68.23148356,44.38118597
44,bffdcc0b-d992-4da0-a018-9c76637a3106,6/30/2023 7:49:07 PM,hannah.webber,6/30/2023 7:49:07 PM,hannah.webber,6/30/2023 4:00:00 PM,13:36,,JR,No,,,,,Yes,19,2,0,0,13:38,,"Yes, but not uploaded",,caba,232,-68.23147196,44.38133499
45,ac59bdc7-96bd-4d47-ad00-72ffd480f4d6,7/3/2023 3:59:37 PM,,7/3/2023 3:59:37 PM,,6/29/2023 4:00:00 PM,09:18,,Ew,No,,,,,No,,,,,10:29,,,,Bmis,2116,-68.0646450247558,44.3343096202276
46,f2a0dabf-caf2-4813-ac13-3fb7465ee50e,7/3/2023 3:59:38 PM,,7/3/2023 3:59:38 PM,,6/29/2023 4:00:00 PM,10:29,,Ew,Yes,22,0,2,10,No,,,,,10:45,"Yes, but not uploaded",,,Bmis,2209,-68.0644300506286,44.3343029359007
47,225c7247-debc-4a8e-9102-13c67bc944ee,7/3/2023 3:59:39 PM,,7/3/2023 3:59:39 PM,,6/29/2023 4:00:00 PM,10:46,,Ew,No,,,,,No,,,,,10:50,,,,Bmis,2210,-68.0644673589763,44.334186789338
48,85f6b623-a1f3-40de-b88e-d084e93d14d8,7/3/2023 3:59:40 PM,,7/3/2023 3:59:40 PM,,6/29/2023 4:00:00 PM,10:51,,Ew,No,,,,,No,,,,,11:03,,,,Bmis,2302,-68.0643363944913,44.3342914947657
49,fd90f6d8-0119-4fff-a19f-f588336ad0e6,7/3/2023 3:59:41 PM,,7/3/2023 3:59:41 PM,,6/29/2023 4:00:00 PM,11:04,,Ew,No,,,,,No,,,,,11:10,,,,Bmis,2303,-68.0642827748653,44.3341721637635
50,d9212045-4471-4060-ae9b-13ce00bbd9b0,7/3/2023 3:59:42 PM,,7/3/2023 3:59:42 PM,,6/29/2023 4:00:00 PM,11:26,,Ew,No,,,,,No,,,,,11:33,,,,Bmis,2304,-68.0642552589833,44.3340410370194
51,1c354ed5-d097-4dc3-8d31-ee316dbe2777,7/3/2023 3:59:43 PM,,7/3/2023 3:59:43 PM,,6/29/2023 4:00:00 PM,11:33,,Ew,No,,,,,No,,,,,11:38,,,,Bmis,2397,-68.0641213909044,44.3340564445508
52,9824c887-a904-4ab5-8fcf-f9f7a552b070,7/3/2023 3:59:43 PM,,7/3/2023 3:59:43 PM,,6/29/2023 4:00:00 PM,11:45,,Ew,Yes,18,0,0,12,No,,,,,11:48,"Yes, but not uploaded",,,Bmis,2396,-68.0640748937678,44.3341759611026
53,cc8c08e1-e605-4e01-8790-74ec04b3ee03,7/3/2023 3:59:44 PM,,7/3/2023 3:59:44 PM,,6/29/2023 4:00:00 PM,12:34,,Ew,Yes,25,0,3,23,No,,,,,12:35,"Yes, but not uploaded",,,Bmis,2489,-68.0640071643219,44.3341657160605
54,881cd96b-5c93-42f0-b07f-59d1854d24b0,7/3/2023 3:59:44 PM,,7/3/2023 3:59:44 PM,,6/29/2023 4:00:00 PM,12:40,,Ew,Yes,21,0,0,9,No,,,,,12:45,"Yes, but not uploaded",,,Bmis,2490,-68.0639506628468,44.334025675009
55,89d3ee6b-09dc-441b-a5d8-db4a95bbe512,7/3/2023 3:59:45 PM,,7/3/2023 3:59:45 PM,,6/29/2023 4:00:00 PM,12:48,,Ew,No,,,,,No,,,,,12:51,,,,Bmis,2491,-68.0639292591125,44.3339258661267
56,c41bd7b4-1081-4470-b3da-9a9adb6cd0ad,7/3/2023 3:59:46 PM,,7/3/2023 3:59:46 PM,,6/29/2023 4:00:00 PM,12:54,,EW,Yes,23,0,0,15,No,,,,,13:00,"Yes, but not uploaded",,,bmis,2583,-68.0637436162866,44.3340636606527
57,3b2644dc-6584-4d9f-af3d-dfc7b452bf4f,7/3/2023 3:59:47 PM,,7/3/2023 3:59:47 PM,,6/29/2023 4:00:00 PM,13:06,,EW,Yes,4,0,0,2,No,,,,,13:12,"Yes, but not uploaded",,,bmis,2584,-68.0637460508204,44.3338999649086
58,b34e5104-6256-4efb-88ec-82a602db46a8,7/3/2023 3:59:47 PM,,7/3/2023 3:59:47 PM,,6/29/2023 4:00:00 PM,13:16,,EW,No,,,,,No,,,,,13:21,,,,bmis,2588,-68.0637484459362,44.3337788700567
59,b5d1c67a-8008-4803-b30a-25932a6faf62,7/3/2023 3:59:48 PM,,7/3/2023 3:59:48 PM,,6/29/2023 4:00:00 PM,13:25,,EW,No,,,,,No,,,,,13:27,,,,bmis,2586,-68.0637891493707,44.3336725179112
60,bba563cb-02f5-45d1-8085-f495e5b2efec,7/3/2023 3:59:49 PM,,7/3/2023 3:59:49 PM,,6/30/2023 4:00:00 PM,10:33,,EW,No,,,,,No,,,,,10:36,,,,caba,181,-68.231905122886,44.3817412119892
61,f3ede89d-582c-46b1-9ec3-c9e793c3fcb1,7/3/2023 3:59:49 PM,,7/3/2023 3:59:49 PM,,6/30/2023 4:00:00 PM,10:41,,EW,No,,,,,No,,,,,10:44,,,,caba,180,-68.2318600943119,44.3818383255668
62,c00eaecf-1662-4116-92e5-475767df21d7,7/3/2023 3:59:50 PM,,7/3/2023 3:59:50 PM,,6/30/2023 4:00:00 PM,10:49,,EW,No,,,,,No,,,,,10:52,,,,caba,179,-68.2318626873303,44.3819528627403
63,f7e68cd4-2794-4f95-9227-ddf7d64f77e9,7/3/2023 3:59:51 PM,,7/3/2023 3:59:51 PM,,6/30/2023 4:00:00 PM,10:53,,EW,No,,,,,No,,,,,10:58,,,,caba,178,-68.2318454600539,44.3820844462091
64,b9616ea8-1e0c-47d1-bdb5-f131133089e6,7/3/2023 3:59:52 PM,,7/3/2023 3:59:52 PM,,6/30/2023 4:00:00 PM,10:58,,EW,No,,,,,Yes,4,1,1,0,11:07,,"Yes, but not uploaded",,caba,154,-68.2320242052505,44.3820899003994
65,476b0dc7-632a-4c8c-b955-82614ab27a8b,7/3/2023 3:59:53 PM,,7/3/2023 3:59:53 PM,,6/30/2023 4:00:00 PM,11:10,,EW,No,,,,,Yes,8,0,0,1,11:13,,"Yes, but not uploaded",,caba,155,-68.2320167324109,44.3819588754982
66,eaab0a21-da65-41a1-843d-6cb77f308d30,7/3/2023 3:59:53 PM,,7/3/2023 3:59:53 PM,,6/30/2023 4:00:00 PM,11:34,,EW,No,,,,,No,,,,,11:38,,,,caba,156,-68.2320484534618,44.3818222110818
67,c7809a8e-2ae7-4a64-86ac-15bb157b6eef,7/3/2023 3:59:54 PM,,7/3/2023 3:59:54 PM,,6/30/2023 4:00:00 PM,11:41,,EW,No,,,,,No,,,,,11:45,,,,caba,157,-68.2320347131716,44.3817041125356
68,3e39ff7a-5f8a-4698-8598-3f3183ae75a7,7/3/2023 3:59:55 PM,,7/3/2023 3:59:55 PM,,6/30/2023 4:00:00 PM,11:47,,EW,No,,,,,No,,,,,11:51,,,,caba,133,-68.2322231767679,44.3816964299757
69,f69db700-77b1-4359-8964-c25091a3aa20,7/3/2023 3:59:55 PM,,7/3/2023 3:59:55 PM,,6/30/2023 4:00:00 PM,11:53,,EW,No,,,,,No,,,,,11:57,,,,caba,132,-68.2322292594177,44.3818259103124
70,df06e829-af98-42dd-b82d-e30715028f15,7/3/2023 3:59:56 PM,,7/3/2023 3:59:56 PM,,6/30/2023 4:00:00 PM,12:37,,EW,No,,,,,No,,,,,12:40,,,,caba,109,-68.2323840723665,44.3817016228477
71,56268429-fb1b-4bff-ba5e-65fdf0b0ed37,7/3/2023 3:59:56 PM,,7/3/2023 3:59:56 PM,,6/30/2023 4:00:00 PM,12:42,,EW,No,,,,,No,,,,,12:44,,,,caba,108,-68.2323801467673,44.3818315251768
72,61476d14-9875-4035-9c0d-02bc1d597a57,7/3/2023 3:59:57 PM,,7/3/2023 3:59:57 PM,,6/30/2023 4:00:00 PM,12:46,,EW,No,,,,,Yes,9,0,0,1,12:50,,"Yes, but not uploaded",,caba,107,-68.2323947757668,44.3819533802922
73,e06a7caf-3538-47f2-9b78-4bc30ab5d2e8,7/3/2023 3:59:57 PM,,7/3/2023 3:59:57 PM,,6/30/2023 4:00:00 PM,12:53,,EW,No,,,,,No,,,,,12:56,,,,caba,131,-68.2322014094127,44.3819664088517
74,39f017f8-44c3-4d01-802d-ba8749887ca6,7/3/2023 3:59:58 PM,,7/3/2023 3:59:58 PM,,6/30/2023 4:00:00 PM,13:00,,EW,No,,,,,No,,,,,13:02,,,,caba,130,-68.2322119676066,44.3820916032062
75,f89ebeca-70d8-443e-a6db-46dd680e54ec,7/3/2023 3:59:59 PM,,7/3/2023 3:59:59 PM,,6/30/2023 4:00:00 PM,13:07,,EW,No,,,,,Yes,12,0,0,0,13:12,,"Yes, but not uploaded",,caba,230,-68.231509202471,44.381592257096
76,18b1c965-debe-4400-a5f2-dfdfff861296,7/3/2023 4:00:00 PM,,7/3/2023 4:00:00 PM,,6/30/2023 4:00:00 PM,13:13,,EW,No,,,,,Yes,10,0,0,0,13:18,,"Yes, but not uploaded",,caba,229,-68.2314896086869,44.3816946622438
77,e5d5f7cc-fd65-4a9c-8d78-77300b7bd8ea,7/3/2023 4:00:01 PM,,7/3/2023 4:00:01 PM,,6/30/2023 4:00:00 PM,13:20,,EW,No,,,,,Yes,5,0,0,0,13:23,,"Yes, but not uploaded",,caba,228,-68.2314879496567,44.3818377584109
78,82567d13-f048-42b3-a8b9-7b3ee9468a33,7/3/2023 4:00:01 PM,,7/3/2023 4:00:01 PM,,6/30/2023 4:00:00 PM,13:27,,EW,No,,,,,No,,,,,13:30,,,,caba,227,-68.2314548474171,44.3819628364171
79,9f7ee3e5-9cdf-4c24-8b84-c4f7f327510e,7/3/2023 4:00:02 PM,,7/3/2023 4:00:02 PM,,6/30/2023 4:00:00 PM,13:32,,EW,No,,,,,Yes,25,1,1,2,13:34,,"Yes, but not uploaded",,caba,250,-68.2313049925299,44.3820718840887
80,4a5ccebf-3d0f-451c-b686-ea004151fb30,7/3/2023 4:00:03 PM,,7/3/2023 4:00:03 PM,,6/30/2023 4:00:00 PM,13:37,,EW,No,,,,,Yes,13,0,0,0,13:40,,"Yes, but not uploaded",,caba,251,-68.231317757137,44.3819537335084
81,ff2cdd3e-4977-4761-9055-f800d84c03de,8/3/2023 5:43:46 PM,,8/3/2023 5:43:46 PM,,7/31/2023 4:00:00 PM,11:41,,AL,No,,,,,Yes,23,0,0,0,12:45,,Yes,,scmo,1077,-68.1467844098012,44.574020800531
82,d131c222-fcd0-4a12-84ae-44d18310e5da,8/3/2023 5:43:48 PM,,8/3/2023 5:43:48 PM,,7/31/2023 4:00:00 PM,12:54,,WZ,No,,,,,Yes,20,0,0,1,13:00,,Yes,,scmo,1039,-68.1469319616499,44.5739902394994
83,6a170f03-9716-42ea-a5dc-7b56f828f07c,8/3/2023 5:43:50 PM,,8/3/2023 5:43:50 PM,,7/31/2023 4:00:00 PM,13:06,,WZ,No,,,,,Yes,11,0,0,0,13:15,,Yes,,scmo,1001,-68.1471299255236,44.5739896447838
84,18977fbc-fcf7-492a-af95-191a4f761834,8/3/2023 5:43:51 PM,,8/3/2023 5:43:51 PM,,7/31/2023 4:00:00 PM,13:18,,WZ,No,,,,,Yes,24,0,0,16,13:25,,Yes,,scmo,963,-68.1473146109137,44.5739650941228
85,50e269f9-755c-4def-bd90-8d5fd6fcf0bb,8/3/2023 5:43:52 PM,,8/3/2023 5:43:52 PM,,7/31/2023 4:00:00 PM,13:30,,AL,No,,,,,Yes,25,0,0,24,13:31,,Yes,,scmo,925,-68.1474794872824,44.5739777279098
86,4014b22d-a98c-48c4-99e5-e8e3d5cd992b,8/3/2023 5:43:53 PM,,8/3/2023 5:43:53 PM,,7/31/2023 4:00:00 PM,13:43,,AL,No,,,,,Yes,25,0,0,25,13:44,,Yes,,scmo,887,-68.1477211665686,44.5739623215604
87,ed559af3-a693-41f9-ba2b-dadb7f20a8d8,8/3/2023 5:43:53 PM,,8/3/2023 5:43:53 PM,,7/31/2023 4:00:00 PM,13:47,,AL,No,,,,,Yes,25,0,0,21,13:47,,Yes,,scmo,849,-68.1478494701429,44.5739970464908
88,a7f8bb67-5364-402c-85ff-7f40e9f663f5,8/3/2023 5:43:54 PM,,8/3/2023 5:43:54 PM,,7/31/2023 4:00:00 PM,13:54,,AL,No,,,,,Yes,23,0,0,16,13:54,,Yes,,scmo,1078,-68.1467948057035,44.5738552496081
89,479266a2-f39e-4690-a364-867c1fad6e05,8/3/2023 5:43:55 PM,,8/3/2023 5:43:55 PM,,7/31/2023 4:00:00 PM,13:59,,AL,No,,,,,Yes,24,0,0,10,14:01,,Yes,,scmo,1040,-68.146957865697,44.5738601351421
90,85f12617-fce1-4125-8196-7198d5cc79f4,8/3/2023 5:43:56 PM,,8/3/2023 5:43:56 PM,,7/31/2023 4:00:00 PM,14:04,,AL,No,,,,,Yes,25,0,0,16,14:05,,Yes,,scmo,1002,-68.147101743687,44.5738788808385
91,92e805e0-ed73-40b2-8e98-94d1b844954a,8/3/2023 5:43:57 PM,,8/3/2023 5:43:57 PM,,7/31/2023 4:00:00 PM,14:08,,AL,Yes,3,0,1,0,Yes,22,0,0,4,14:08,Yes,Yes,,scmo,964,-68.1472805056082,44.5738226001965
92,faabc549-5cd8-41a8-ac64-c63bb663b5d6,8/3/2023 5:43:57 PM,,8/3/2023 5:43:57 PM,,8/2/2023 4:00:00 PM,11:44,,Ew,No,,,,,No,,,,,11:49,,,,BEMO,854,-68.3695836640784,44.3051648709925
93,e4d4e280-3667-4601-8ca3-66e33e2afbc4,8/3/2023 5:43:58 PM,,8/3/2023 5:43:58 PM,,8/2/2023 4:00:00 PM,13:29,,Ew,No,,,,,No,,,,,13:30,,,,Bemo,239,-68.3722164798188,44.3031755109874
94,d53fb4a4-270a-4c7b-acce-c8fd0a95367e,8/3/2023 5:44:00 PM,,8/3/2023 5:44:00 PM,,8/2/2023 4:00:00 PM,13:38,,Ew,Yes,11,0,0,4,No,,,,,13:40,No,,K,Bemo,240,-68.3722762488955,44.3031775586445
95,0123ed77-a54d-40d7-bea4-dd67ad3977d2,8/3/2023 5:44:01 PM,,8/3/2023 5:44:01 PM,,7/31/2023 4:00:00 PM,11:41,,E.W,Yes,24,0,0,9,Yes,9,0,0,3,13:00,Yes,Yes,,scmo,1160,-68.1464356723619,44.5730797230028
96,57f92600-6879-4cd4-9a97-bce82f9b4d50,8/3/2023 5:44:02 PM,,8/3/2023 5:44:02 PM,,7/31/2023 4:00:00 PM,13:01,,EW,Yes,24,0,0,24,Yes,25,0,0,20,13:15,Yes,Yes,,SCMO,1122,-68.1465720438496,44.5731070806259
97,c83b2f07-79a6-4fdd-aedc-c6eef6fdb24f,8/3/2023 5:44:03 PM,,8/3/2023 5:44:03 PM,,7/31/2023 4:00:00 PM,13:15,,JG,Yes,23,0,0,2,Yes,25,0,8,24,13:32,Yes,Yes,,Scmo,1084,-68.1465919396619,44.5731409257138
